policy_id,title,sector,region,year,target_group,status,funding_million_usd,stakeholders,impact_score,summary,goals,full_text,text_for_nlp
P1356,District Higher Education Education Reform 78,Secondary,Punjab,2023,Teachers,Pilot,48.8,"Central Government, Donors",0.498,This policy aims to improve digital access in Secondary through grants to schools in Punjab.,Increase reach by 7% in 3 years.,This policy aims to improve digital access in Secondary through grants to schools in Punjab. Goals: Increase reach by 7% in 3 years.,"district higher education education reform 78. this policy aims to improve digital access in secondary through grants to schools in punjab. goals: increase reach by 7% in 3 years.. stakeholders: central government, donors"
P1295,District Early Childhood Education Reform 63,Higher Education,Kerala,2017,Disadvantaged Groups,Implemented,1.78,"Ministry of Education, Local NGOs",0.901,This policy aims to improve teacher quality in Higher Education through curriculum reform in Kerala.,Increase reach by 33% in 3 years.,This policy aims to improve teacher quality in Higher Education through curriculum reform in Kerala. Goals: Increase reach by 33% in 3 years.,"district early childhood education reform 63. this policy aims to improve teacher quality in higher education through curriculum reform in kerala. goals: increase reach by 33% in 3 years.. stakeholders: ministry of education, local ngos"
P1397,State Primary Education Reform 88,Early Childhood,Maharashtra,2020,Urban Students,Proposed,2.84,"Teachers' Unions, Community Leaders",0.12,This policy aims to improve teacher quality in Early Childhood through public-private partnerships in Maharashtra.,Increase reach by 18% in 3 years.,This policy aims to improve teacher quality in Early Childhood through public-private partnerships in Maharashtra. Goals: Increase reach by 18% in 3 years.,"state primary education reform 88. this policy aims to improve teacher quality in early childhood through public-private partnerships in maharashtra. goals: increase reach by 18% in 3 years.. stakeholders: teachers' unions, community leaders"
P1341,State Higher Education Education Reform 17,Vocational,Karnataka,2018,Students,Implemented,2.72,"Teachers' Unions, Community Leaders",0.474,This policy aims to improve digital access in Vocational through digital device distribution in Karnataka.,Increase reach by 34% in 1 years.,This policy aims to improve digital access in Vocational through digital device distribution in Karnataka. Goals: Increase reach by 34% in 1 years.,"state higher education education reform 17. this policy aims to improve digital access in vocational through digital device distribution in karnataka. goals: increase reach by 34% in 1 years.. stakeholders: teachers' unions, community leaders"
P1113,State Secondary Education Reform 6,Secondary,Karnataka,2020,Rural Students,Pilot,0.2,"State Education Department, Private Partners",0.355,This policy aims to improve learning outcomes in Secondary through public-private partnerships in Karnataka.,Increase reach by 26% in 3 years.,This policy aims to improve learning outcomes in Secondary through public-private partnerships in Karnataka. Goals: Increase reach by 26% in 3 years.,"state secondary education reform 6. this policy aims to improve learning outcomes in secondary through public-private partnerships in karnataka. goals: increase reach by 26% in 3 years.. stakeholders: state education department, private partners"
P1180,District Primary Education Reform 14,Secondary,Kerala,2017,Disadvantaged Groups,Proposed,0.49,"Teachers' Unions, Community Leaders",0.959,This policy aims to improve digital access in Secondary through grants to schools in Kerala.,Increase reach by 5% in 1 years.,This policy aims to improve digital access in Secondary through grants to schools in Kerala. Goals: Increase reach by 5% in 1 years.,"district primary education reform 14. this policy aims to improve digital access in secondary through grants to schools in kerala. goals: increase reach by 5% in 1 years.. stakeholders: teachers' unions, community leaders"
P1308,State Vocational Education Reform 17,Primary,Karnataka,2018,Women,Pilot,14.08,"State Education Department, Private Partners",0.524,This policy aims to improve early childhood development in Primary through scholarship schemes in Karnataka.,Increase reach by 7% in 5 years.,This policy aims to improve early childhood development in Primary through scholarship schemes in Karnataka. Goals: Increase reach by 7% in 5 years.,"state vocational education reform 17. this policy aims to improve early childhood development in primary through scholarship schemes in karnataka. goals: increase reach by 7% in 5 years.. stakeholders: state education department, private partners"
P1433,National Primary Education Reform 15,Vocational,Punjab,2024,Teachers,Proposed,11.39,"Central Government, Donors",0.389,This policy aims to improve vocational skills in Vocational through scholarship schemes in Punjab.,Increase reach by 39% in 2 years.,This policy aims to improve vocational skills in Vocational through scholarship schemes in Punjab. Goals: Increase reach by 39% in 2 years.,"national primary education reform 15. this policy aims to improve vocational skills in vocational through scholarship schemes in punjab. goals: increase reach by 39% in 2 years.. stakeholders: central government, donors"
P1488,State Secondary Education Reform 3,Early Childhood,Kerala,2015,Urban Students,Pilot,0.21,"Central Government, Donors",0.623,This policy aims to improve teacher quality in Early Childhood through curriculum reform in Kerala.,Increase reach by 29% in 3 years.,This policy aims to improve teacher quality in Early Childhood through curriculum reform in Kerala. Goals: Increase reach by 29% in 3 years.,"state secondary education reform 3. this policy aims to improve teacher quality in early childhood through curriculum reform in kerala. goals: increase reach by 29% in 3 years.. stakeholders: central government, donors"
P1482,National Primary Education Reform 95,Primary,Maharashtra,2022,Disadvantaged Groups,Proposed,10.74,"Teachers' Unions, Community Leaders",0.236,This policy aims to improve early childhood development in Primary through scholarship schemes in Maharashtra.,Increase reach by 11% in 1 years.,This policy aims to improve early childhood development in Primary through scholarship schemes in Maharashtra. Goals: Increase reach by 11% in 1 years.,"national primary education reform 95. this policy aims to improve early childhood development in primary through scholarship schemes in maharashtra. goals: increase reach by 11% in 1 years.. stakeholders: teachers' unions, community leaders"
P1423,District Primary Education Reform 91,Primary,Maharashtra,2024,Teachers,Pilot,18.44,"State Education Department, Private Partners",0.325,This policy aims to improve digital access in Primary through public-private partnerships in Maharashtra.,Increase reach by 9% in 4 years.,This policy aims to improve digital access in Primary through public-private partnerships in Maharashtra. Goals: Increase reach by 9% in 4 years.,"district primary education reform 91. this policy aims to improve digital access in primary through public-private partnerships in maharashtra. goals: increase reach by 9% in 4 years.. stakeholders: state education department, private partners"
P1234,District Vocational Education Reform 21,Primary,Maharashtra,2020,Teachers,Implemented,0.38,"EdTech Companies, Universities",0.336,This policy aims to improve teacher quality in Primary through digital device distribution in Maharashtra.,Increase reach by 20% in 1 years.,This policy aims to improve teacher quality in Primary through digital device distribution in Maharashtra. Goals: Increase reach by 20% in 1 years.,"district vocational education reform 21. this policy aims to improve teacher quality in primary through digital device distribution in maharashtra. goals: increase reach by 20% in 1 years.. stakeholders: edtech companies, universities"
P1312,State Higher Education Education Reform 69,Vocational,Punjab,2020,Women,Under Review,0.4,"Central Government, Donors",0.591,This policy aims to improve early childhood development in Vocational through curriculum reform in Punjab.,Increase reach by 16% in 3 years.,This policy aims to improve early childhood development in Vocational through curriculum reform in Punjab. Goals: Increase reach by 16% in 3 years.,"state higher education education reform 69. this policy aims to improve early childhood development in vocational through curriculum reform in punjab. goals: increase reach by 16% in 3 years.. stakeholders: central government, donors"
P1165,District Early Childhood Education Reform 62,Vocational,Karnataka,2015,Women,Pilot,0.58,"Teachers' Unions, Community Leaders",0.577,This policy aims to improve teacher quality in Vocational through grants to schools in Karnataka.,Increase reach by 37% in 4 years.,This policy aims to improve teacher quality in Vocational through grants to schools in Karnataka. Goals: Increase reach by 37% in 4 years.,"district early childhood education reform 62. this policy aims to improve teacher quality in vocational through grants to schools in karnataka. goals: increase reach by 37% in 4 years.. stakeholders: teachers' unions, community leaders"
P1137,District Secondary Education Reform 72,Higher Education,Gujarat,2023,Urban Students,Under Review,11.89,"EdTech Companies, Universities",0.405,This policy aims to improve teacher quality in Higher Education through public-private partnerships in Gujarat.,Increase reach by 21% in 5 years.,This policy aims to improve teacher quality in Higher Education through public-private partnerships in Gujarat. Goals: Increase reach by 21% in 5 years.,"district secondary education reform 72. this policy aims to improve teacher quality in higher education through public-private partnerships in gujarat. goals: increase reach by 21% in 5 years.. stakeholders: edtech companies, universities"
P1198,State Primary Education Reform 84,Higher Education,Delhi,2016,Rural Students,Implemented,2.28,"Teachers' Unions, Community Leaders",0.746,This policy aims to improve infrastructure in Higher Education through curriculum reform in Delhi.,Increase reach by 10% in 1 years.,This policy aims to improve infrastructure in Higher Education through curriculum reform in Delhi. Goals: Increase reach by 10% in 1 years.,"state primary education reform 84. this policy aims to improve infrastructure in higher education through curriculum reform in delhi. goals: increase reach by 10% in 1 years.. stakeholders: teachers' unions, community leaders"
P1259,District Higher Education Education Reform 56,Secondary,Kerala,2022,Rural Students,Implemented,19.22,"Central Government, Donors",0.117,This policy aims to improve infrastructure in Secondary through public-private partnerships in Kerala.,Increase reach by 13% in 2 years.,This policy aims to improve infrastructure in Secondary through public-private partnerships in Kerala. Goals: Increase reach by 13% in 2 years.,"district higher education education reform 56. this policy aims to improve infrastructure in secondary through public-private partnerships in kerala. goals: increase reach by 13% in 2 years.. stakeholders: central government, donors"
P1233,State Primary Education Reform 10,Higher Education,Tamil Nadu,2021,Teachers,Proposed,2.02,"EdTech Companies, Universities",0.895,This policy aims to improve vocational skills in Higher Education through grants to schools in Tamil Nadu.,Increase reach by 32% in 2 years.,This policy aims to improve vocational skills in Higher Education through grants to schools in Tamil Nadu. Goals: Increase reach by 32% in 2 years.,"state primary education reform 10. this policy aims to improve vocational skills in higher education through grants to schools in tamil nadu. goals: increase reach by 32% in 2 years.. stakeholders: edtech companies, universities"
P1116,District Vocational Education Reform 45,Vocational,Karnataka,2020,Women,Pilot,71.16,"Ministry of Education, Local NGOs",0.167,This policy aims to improve vocational skills in Vocational through curriculum reform in Karnataka.,Increase reach by 28% in 5 years.,This policy aims to improve vocational skills in Vocational through curriculum reform in Karnataka. Goals: Increase reach by 28% in 5 years.,"district vocational education reform 45. this policy aims to improve vocational skills in vocational through curriculum reform in karnataka. goals: increase reach by 28% in 5 years.. stakeholders: ministry of education, local ngos"
P1121,District Secondary Education Reform 16,Secondary,Tamil Nadu,2018,All,Pilot,2.12,"EdTech Companies, Universities",0.428,This policy aims to improve early childhood development in Secondary through teacher training programs in Tamil Nadu.,Increase reach by 10% in 1 years.,This policy aims to improve early childhood development in Secondary through teacher training programs in Tamil Nadu. Goals: Increase reach by 10% in 1 years.,"district secondary education reform 16. this policy aims to improve early childhood development in secondary through teacher training programs in tamil nadu. goals: increase reach by 10% in 1 years.. stakeholders: edtech companies, universities"
P1350,National Higher Education Education Reform 93,Primary,Rajasthan,2021,Teachers,Pilot,14.2,"Teachers' Unions, Community Leaders",0.465,This policy aims to improve teacher quality in Primary through grants to schools in Rajasthan.,Increase reach by 11% in 5 years.,This policy aims to improve teacher quality in Primary through grants to schools in Rajasthan. Goals: Increase reach by 11% in 5 years.,"national higher education education reform 93. this policy aims to improve teacher quality in primary through grants to schools in rajasthan. goals: increase reach by 11% in 5 years.. stakeholders: teachers' unions, community leaders"
P1225,National Secondary Education Reform 35,Early Childhood,Karnataka,2018,Women,Pilot,94.82,"State Education Department, Private Partners",0.257,This policy aims to improve early childhood development in Early Childhood through digital device distribution in Karnataka.,Increase reach by 27% in 5 years.,This policy aims to improve early childhood development in Early Childhood through digital device distribution in Karnataka. Goals: Increase reach by 27% in 5 years.,"national secondary education reform 35. this policy aims to improve early childhood development in early childhood through digital device distribution in karnataka. goals: increase reach by 27% in 5 years.. stakeholders: state education department, private partners"
P1403,State Vocational Education Reform 60,Secondary,Delhi,2020,Women,Implemented,2.33,"Ministry of Education, Local NGOs",0.39,This policy aims to improve vocational skills in Secondary through grants to schools in Delhi.,Increase reach by 24% in 5 years.,This policy aims to improve vocational skills in Secondary through grants to schools in Delhi. Goals: Increase reach by 24% in 5 years.,"state vocational education reform 60. this policy aims to improve vocational skills in secondary through grants to schools in delhi. goals: increase reach by 24% in 5 years.. stakeholders: ministry of education, local ngos"
P1398,National Secondary Education Reform 37,Higher Education,Rajasthan,2020,All,Pilot,1.73,"State Education Department, Private Partners",0.344,This policy aims to improve learning outcomes in Higher Education through scholarship schemes in Rajasthan.,Increase reach by 40% in 5 years.,This policy aims to improve learning outcomes in Higher Education through scholarship schemes in Rajasthan. Goals: Increase reach by 40% in 5 years.,"national secondary education reform 37. this policy aims to improve learning outcomes in higher education through scholarship schemes in rajasthan. goals: increase reach by 40% in 5 years.. stakeholders: state education department, private partners"
P1128,District Early Childhood Education Reform 14,Higher Education,Uttar Pradesh,2022,Students,Under Review,0.2,"Ministry of Education, Local NGOs",0.145,This policy aims to improve digital access in Higher Education through scholarship schemes in Uttar Pradesh.,Increase reach by 31% in 2 years.,This policy aims to improve digital access in Higher Education through scholarship schemes in Uttar Pradesh. Goals: Increase reach by 31% in 2 years.,"district early childhood education reform 14. this policy aims to improve digital access in higher education through scholarship schemes in uttar pradesh. goals: increase reach by 31% in 2 years.. stakeholders: ministry of education, local ngos"
P1286,District Early Childhood Education Reform 61,Early Childhood,Karnataka,2016,Disadvantaged Groups,Under Review,0.2,"EdTech Companies, Universities",0.918,This policy aims to improve infrastructure in Early Childhood through grants to schools in Karnataka.,Increase reach by 25% in 4 years.,This policy aims to improve infrastructure in Early Childhood through grants to schools in Karnataka. Goals: Increase reach by 25% in 4 years.,"district early childhood education reform 61. this policy aims to improve infrastructure in early childhood through grants to schools in karnataka. goals: increase reach by 25% in 4 years.. stakeholders: edtech companies, universities"
P1412,State Early Childhood Education Reform 1,Early Childhood,Gujarat,2018,Disadvantaged Groups,Under Review,0.47,"EdTech Companies, Universities",0.427,This policy aims to improve learning outcomes in Early Childhood through scholarship schemes in Gujarat.,Increase reach by 35% in 3 years.,This policy aims to improve learning outcomes in Early Childhood through scholarship schemes in Gujarat. Goals: Increase reach by 35% in 3 years.,"state early childhood education reform 1. this policy aims to improve learning outcomes in early childhood through scholarship schemes in gujarat. goals: increase reach by 35% in 3 years.. stakeholders: edtech companies, universities"
P1108,National Primary Education Reform 37,Vocational,Tamil Nadu,2022,Urban Students,Proposed,0.59,"State Education Department, Private Partners",0.843,This policy aims to improve early childhood development in Vocational through public-private partnerships in Tamil Nadu.,Increase reach by 38% in 4 years.,This policy aims to improve early childhood development in Vocational through public-private partnerships in Tamil Nadu. Goals: Increase reach by 38% in 4 years.,"national primary education reform 37. this policy aims to improve early childhood development in vocational through public-private partnerships in tamil nadu. goals: increase reach by 38% in 4 years.. stakeholders: state education department, private partners"
P1371,State Higher Education Education Reform 46,Higher Education,Uttar Pradesh,2023,Rural Students,Proposed,90.29,"Ministry of Education, Local NGOs",0.94,This policy aims to improve teacher quality in Higher Education through teacher training programs in Uttar Pradesh.,Increase reach by 14% in 3 years.,This policy aims to improve teacher quality in Higher Education through teacher training programs in Uttar Pradesh. Goals: Increase reach by 14% in 3 years.,"state higher education education reform 46. this policy aims to improve teacher quality in higher education through teacher training programs in uttar pradesh. goals: increase reach by 14% in 3 years.. stakeholders: ministry of education, local ngos"
P1326,National Higher Education Education Reform 61,Early Childhood,Kerala,2020,Teachers,Pilot,0.18,"Teachers' Unions, Community Leaders",0.425,This policy aims to improve digital access in Early Childhood through digital device distribution in Kerala.,Increase reach by 33% in 2 years.,This policy aims to improve digital access in Early Childhood through digital device distribution in Kerala. Goals: Increase reach by 33% in 2 years.,"national higher education education reform 61. this policy aims to improve digital access in early childhood through digital device distribution in kerala. goals: increase reach by 33% in 2 years.. stakeholders: teachers' unions, community leaders"
P1134,District Early Childhood Education Reform 63,Early Childhood,Delhi,2022,All,Proposed,46.5,"Ministry of Education, Local NGOs",0.972,This policy aims to improve early childhood development in Early Childhood through digital device distribution in Delhi.,Increase reach by 6% in 5 years.,This policy aims to improve early childhood development in Early Childhood through digital device distribution in Delhi. Goals: Increase reach by 6% in 5 years.,"district early childhood education reform 63. this policy aims to improve early childhood development in early childhood through digital device distribution in delhi. goals: increase reach by 6% in 5 years.. stakeholders: ministry of education, local ngos"
P1453,District Primary Education Reform 38,Vocational,Rajasthan,2017,Urban Students,Under Review,0.28,"Ministry of Education, Local NGOs",0.359,This policy aims to improve learning outcomes in Vocational through grants to schools in Rajasthan.,Increase reach by 19% in 5 years.,This policy aims to improve learning outcomes in Vocational through grants to schools in Rajasthan. Goals: Increase reach by 19% in 5 years.,"district primary education reform 38. this policy aims to improve learning outcomes in vocational through grants to schools in rajasthan. goals: increase reach by 19% in 5 years.. stakeholders: ministry of education, local ngos"
P1045,National Primary Education Reform 36,Vocational,Uttar Pradesh,2022,Women,Pilot,22.3,"Teachers' Unions, Community Leaders",0.262,This policy aims to improve infrastructure in Vocational through digital device distribution in Uttar Pradesh.,Increase reach by 21% in 3 years.,This policy aims to improve infrastructure in Vocational through digital device distribution in Uttar Pradesh. Goals: Increase reach by 21% in 3 years.,"national primary education reform 36. this policy aims to improve infrastructure in vocational through digital device distribution in uttar pradesh. goals: increase reach by 21% in 3 years.. stakeholders: teachers' unions, community leaders"
P1461,State Secondary Education Reform 63,Higher Education,Punjab,2024,Women,Proposed,51.8,"Central Government, Donors",0.429,This policy aims to improve teacher quality in Higher Education through grants to schools in Punjab.,Increase reach by 23% in 3 years.,This policy aims to improve teacher quality in Higher Education through grants to schools in Punjab. Goals: Increase reach by 23% in 3 years.,"state secondary education reform 63. this policy aims to improve teacher quality in higher education through grants to schools in punjab. goals: increase reach by 23% in 3 years.. stakeholders: central government, donors"
P1066,State Higher Education Education Reform 44,Early Childhood,West Bengal,2025,Students,Under Review,0.48,"Central Government, Donors",0.876,This policy aims to improve learning outcomes in Early Childhood through scholarship schemes in West Bengal.,Increase reach by 9% in 2 years.,This policy aims to improve learning outcomes in Early Childhood through scholarship schemes in West Bengal. Goals: Increase reach by 9% in 2 years.,"state higher education education reform 44. this policy aims to improve learning outcomes in early childhood through scholarship schemes in west bengal. goals: increase reach by 9% in 2 years.. stakeholders: central government, donors"
P1284,State Vocational Education Reform 91,Secondary,Karnataka,2017,Rural Students,Proposed,59.24,"EdTech Companies, Universities",0.59,This policy aims to improve learning outcomes in Secondary through public-private partnerships in Karnataka.,Increase reach by 25% in 5 years.,This policy aims to improve learning outcomes in Secondary through public-private partnerships in Karnataka. Goals: Increase reach by 25% in 5 years.,"state vocational education reform 91. this policy aims to improve learning outcomes in secondary through public-private partnerships in karnataka. goals: increase reach by 25% in 5 years.. stakeholders: edtech companies, universities"
P1086,District Vocational Education Reform 93,Primary,Delhi,2024,Rural Students,Under Review,3.1,"State Education Department, Private Partners",0.238,This policy aims to improve digital access in Primary through teacher training programs in Delhi.,Increase reach by 11% in 3 years.,This policy aims to improve digital access in Primary through teacher training programs in Delhi. Goals: Increase reach by 11% in 3 years.,"district vocational education reform 93. this policy aims to improve digital access in primary through teacher training programs in delhi. goals: increase reach by 11% in 3 years.. stakeholders: state education department, private partners"
P1243,State Higher Education Education Reform 89,Secondary,Karnataka,2022,Rural Students,Under Review,2.02,"Teachers' Unions, Community Leaders",0.377,This policy aims to improve digital access in Secondary through public-private partnerships in Karnataka.,Increase reach by 11% in 2 years.,This policy aims to improve digital access in Secondary through public-private partnerships in Karnataka. Goals: Increase reach by 11% in 2 years.,"state higher education education reform 89. this policy aims to improve digital access in secondary through public-private partnerships in karnataka. goals: increase reach by 11% in 2 years.. stakeholders: teachers' unions, community leaders"
P1187,District Early Childhood Education Reform 11,Secondary,Kerala,2016,Teachers,Under Review,1.32,"State Education Department, Private Partners",0.555,This policy aims to improve digital access in Secondary through scholarship schemes in Kerala.,Increase reach by 13% in 5 years.,This policy aims to improve digital access in Secondary through scholarship schemes in Kerala. Goals: Increase reach by 13% in 5 years.,"district early childhood education reform 11. this policy aims to improve digital access in secondary through scholarship schemes in kerala. goals: increase reach by 13% in 5 years.. stakeholders: state education department, private partners"
P1384,State Vocational Education Reform 64,Early Childhood,Karnataka,2024,Urban Students,Implemented,13.83,"Central Government, Donors",0.504,This policy aims to improve digital access in Early Childhood through grants to schools in Karnataka.,Increase reach by 5% in 2 years.,This policy aims to improve digital access in Early Childhood through grants to schools in Karnataka. Goals: Increase reach by 5% in 2 years.,"state vocational education reform 64. this policy aims to improve digital access in early childhood through grants to schools in karnataka. goals: increase reach by 5% in 2 years.. stakeholders: central government, donors"
P1160,State Higher Education Education Reform 2,Secondary,Uttar Pradesh,2016,Disadvantaged Groups,Pilot,15.43,"State Education Department, Private Partners",0.453,This policy aims to improve infrastructure in Secondary through scholarship schemes in Uttar Pradesh.,Increase reach by 25% in 3 years.,This policy aims to improve infrastructure in Secondary through scholarship schemes in Uttar Pradesh. Goals: Increase reach by 25% in 3 years.,"state higher education education reform 2. this policy aims to improve infrastructure in secondary through scholarship schemes in uttar pradesh. goals: increase reach by 25% in 3 years.. stakeholders: state education department, private partners"
P1013,National Primary Education Reform 44,Primary,Punjab,2023,Teachers,Implemented,0.82,"Ministry of Education, Local NGOs",0.304,This policy aims to improve learning outcomes in Primary through digital device distribution in Punjab.,Increase reach by 9% in 5 years.,This policy aims to improve learning outcomes in Primary through digital device distribution in Punjab. Goals: Increase reach by 9% in 5 years.,"national primary education reform 44. this policy aims to improve learning outcomes in primary through digital device distribution in punjab. goals: increase reach by 9% in 5 years.. stakeholders: ministry of education, local ngos"
P1036,National Secondary Education Reform 30,Vocational,Tamil Nadu,2018,Students,Pilot,0.23,"Central Government, Donors",0.47,This policy aims to improve infrastructure in Vocational through curriculum reform in Tamil Nadu.,Increase reach by 29% in 5 years.,This policy aims to improve infrastructure in Vocational through curriculum reform in Tamil Nadu. Goals: Increase reach by 29% in 5 years.,"national secondary education reform 30. this policy aims to improve infrastructure in vocational through curriculum reform in tamil nadu. goals: increase reach by 29% in 5 years.. stakeholders: central government, donors"
P1029,District Secondary Education Reform 47,Vocational,Maharashtra,2025,Rural Students,Under Review,3.74,"Teachers' Unions, Community Leaders",0.551,This policy aims to improve vocational skills in Vocational through curriculum reform in Maharashtra.,Increase reach by 25% in 4 years.,This policy aims to improve vocational skills in Vocational through curriculum reform in Maharashtra. Goals: Increase reach by 25% in 4 years.,"district secondary education reform 47. this policy aims to improve vocational skills in vocational through curriculum reform in maharashtra. goals: increase reach by 25% in 4 years.. stakeholders: teachers' unions, community leaders"
P1171,National Higher Education Education Reform 58,Vocational,Uttar Pradesh,2020,Women,Pilot,0.17,"EdTech Companies, Universities",0.688,This policy aims to improve learning outcomes in Vocational through scholarship schemes in Uttar Pradesh.,Increase reach by 23% in 2 years.,This policy aims to improve learning outcomes in Vocational through scholarship schemes in Uttar Pradesh. Goals: Increase reach by 23% in 2 years.,"national higher education education reform 58. this policy aims to improve learning outcomes in vocational through scholarship schemes in uttar pradesh. goals: increase reach by 23% in 2 years.. stakeholders: edtech companies, universities"
P1143,National Primary Education Reform 51,Vocational,Tamil Nadu,2019,Students,Proposed,65.44,"Ministry of Education, Local NGOs",0.926,This policy aims to improve teacher quality in Vocational through digital device distribution in Tamil Nadu.,Increase reach by 34% in 5 years.,This policy aims to improve teacher quality in Vocational through digital device distribution in Tamil Nadu. Goals: Increase reach by 34% in 5 years.,"national primary education reform 51. this policy aims to improve teacher quality in vocational through digital device distribution in tamil nadu. goals: increase reach by 34% in 5 years.. stakeholders: ministry of education, local ngos"
P1399,National Secondary Education Reform 70,Higher Education,Rajasthan,2020,Rural Students,Implemented,65.93,"State Education Department, Private Partners",0.163,This policy aims to improve early childhood development in Higher Education through digital device distribution in Rajasthan.,Increase reach by 39% in 4 years.,This policy aims to improve early childhood development in Higher Education through digital device distribution in Rajasthan. Goals: Increase reach by 39% in 4 years.,"national secondary education reform 70. this policy aims to improve early childhood development in higher education through digital device distribution in rajasthan. goals: increase reach by 39% in 4 years.. stakeholders: state education department, private partners"
P1343,District Secondary Education Reform 50,Vocational,Uttar Pradesh,2015,Teachers,Pilot,2.85,"State Education Department, Private Partners",0.521,This policy aims to improve vocational skills in Vocational through digital device distribution in Uttar Pradesh.,Increase reach by 25% in 2 years.,This policy aims to improve vocational skills in Vocational through digital device distribution in Uttar Pradesh. Goals: Increase reach by 25% in 2 years.,"district secondary education reform 50. this policy aims to improve vocational skills in vocational through digital device distribution in uttar pradesh. goals: increase reach by 25% in 2 years.. stakeholders: state education department, private partners"
P1222,National Primary Education Reform 79,Early Childhood,Punjab,2018,Disadvantaged Groups,Under Review,0.26,"EdTech Companies, Universities",0.526,This policy aims to improve learning outcomes in Early Childhood through digital device distribution in Punjab.,Increase reach by 29% in 2 years.,This policy aims to improve learning outcomes in Early Childhood through digital device distribution in Punjab. Goals: Increase reach by 29% in 2 years.,"national primary education reform 79. this policy aims to improve learning outcomes in early childhood through digital device distribution in punjab. goals: increase reach by 29% in 2 years.. stakeholders: edtech companies, universities"
P1096,District Vocational Education Reform 60,Early Childhood,Punjab,2022,Disadvantaged Groups,Under Review,32.08,"Ministry of Education, Local NGOs",0.517,This policy aims to improve vocational skills in Early Childhood through digital device distribution in Punjab.,Increase reach by 22% in 5 years.,This policy aims to improve vocational skills in Early Childhood through digital device distribution in Punjab. Goals: Increase reach by 22% in 5 years.,"district vocational education reform 60. this policy aims to improve vocational skills in early childhood through digital device distribution in punjab. goals: increase reach by 22% in 5 years.. stakeholders: ministry of education, local ngos"
P1052,State Early Childhood Education Reform 77,Early Childhood,Uttar Pradesh,2023,Urban Students,Pilot,0.22,"EdTech Companies, Universities",0.981,This policy aims to improve teacher quality in Early Childhood through scholarship schemes in Uttar Pradesh.,Increase reach by 8% in 5 years.,This policy aims to improve teacher quality in Early Childhood through scholarship schemes in Uttar Pradesh. Goals: Increase reach by 8% in 5 years.,"state early childhood education reform 77. this policy aims to improve teacher quality in early childhood through scholarship schemes in uttar pradesh. goals: increase reach by 8% in 5 years.. stakeholders: edtech companies, universities"
P1241,State Early Childhood Education Reform 59,Primary,Punjab,2024,Women,Pilot,2.36,"State Education Department, Private Partners",0.604,This policy aims to improve early childhood development in Primary through grants to schools in Punjab.,Increase reach by 11% in 5 years.,This policy aims to improve early childhood development in Primary through grants to schools in Punjab. Goals: Increase reach by 11% in 5 years.,"state early childhood education reform 59. this policy aims to improve early childhood development in primary through grants to schools in punjab. goals: increase reach by 11% in 5 years.. stakeholders: state education department, private partners"
P1485,State Secondary Education Reform 40,Vocational,Gujarat,2016,Women,Pilot,0.29,"State Education Department, Private Partners",0.551,This policy aims to improve digital access in Vocational through digital device distribution in Gujarat.,Increase reach by 36% in 5 years.,This policy aims to improve digital access in Vocational through digital device distribution in Gujarat. Goals: Increase reach by 36% in 5 years.,"state secondary education reform 40. this policy aims to improve digital access in vocational through digital device distribution in gujarat. goals: increase reach by 36% in 5 years.. stakeholders: state education department, private partners"
P1379,District Primary Education Reform 72,Vocational,Rajasthan,2025,Students,Implemented,55.16,"Teachers' Unions, Community Leaders",0.789,This policy aims to improve teacher quality in Vocational through curriculum reform in Rajasthan.,Increase reach by 15% in 4 years.,This policy aims to improve teacher quality in Vocational through curriculum reform in Rajasthan. Goals: Increase reach by 15% in 4 years.,"district primary education reform 72. this policy aims to improve teacher quality in vocational through curriculum reform in rajasthan. goals: increase reach by 15% in 4 years.. stakeholders: teachers' unions, community leaders"
P1179,State Secondary Education Reform 92,Vocational,West Bengal,2016,Urban Students,Pilot,0.31,"Central Government, Donors",0.584,This policy aims to improve teacher quality in Vocational through public-private partnerships in West Bengal.,Increase reach by 39% in 5 years.,This policy aims to improve teacher quality in Vocational through public-private partnerships in West Bengal. Goals: Increase reach by 39% in 5 years.,"state secondary education reform 92. this policy aims to improve teacher quality in vocational through public-private partnerships in west bengal. goals: increase reach by 39% in 5 years.. stakeholders: central government, donors"
P1042,State Primary Education Reform 75,Primary,Delhi,2024,Disadvantaged Groups,Pilot,0.48,"State Education Department, Private Partners",0.168,This policy aims to improve vocational skills in Primary through public-private partnerships in Delhi.,Increase reach by 20% in 1 years.,This policy aims to improve vocational skills in Primary through public-private partnerships in Delhi. Goals: Increase reach by 20% in 1 years.,"state primary education reform 75. this policy aims to improve vocational skills in primary through public-private partnerships in delhi. goals: increase reach by 20% in 1 years.. stakeholders: state education department, private partners"
P1499,District Vocational Education Reform 61,Secondary,Delhi,2017,Rural Students,Pilot,85.71,"Ministry of Education, Local NGOs",0.674,This policy aims to improve early childhood development in Secondary through grants to schools in Delhi.,Increase reach by 8% in 2 years.,This policy aims to improve early childhood development in Secondary through grants to schools in Delhi. Goals: Increase reach by 8% in 2 years.,"district vocational education reform 61. this policy aims to improve early childhood development in secondary through grants to schools in delhi. goals: increase reach by 8% in 2 years.. stakeholders: ministry of education, local ngos"
